worker_id,writing_type,prompt_code,Cluster
A3S67QA0SQVPUJ,argumentative,dating,"0,2"
A3S67QA0SQVPUJ,argumentative,extremesports,"0,2"
A3S67QA0SQVPUJ,argumentative,news,"0,2"
A3S67QA0SQVPUJ,argumentative,pads,"0,2"
A3S67QA0SQVPUJ,argumentative,school,"0,2"
A3S67QA0SQVPUJ,argumentative,screen,"0,2"
A3S67QA0SQVPUJ,argumentative,stereotype,"0,2"
A3S67QA0SQVPUJ,creative,bee,2
A3S67QA0SQVPUJ,creative,dad,2
A3S67QA0SQVPUJ,creative,isolation,2
A3S67QA0SQVPUJ,creative,mana,2
A3S67QA0SQVPUJ,creative,mattdamon,2
A3S67QA0SQVPUJ,creative,obama,2
A3S67QA0SQVPUJ,creative,pig,2
A3S67QA0SQVPUJ,creative,reincarnation,2
A3S67QA0SQVPUJ,creative,shapeshifter,2
A3S67QA0SQVPUJ,creative,sideeffect,2
A3VEF4M5FIN7KH,argumentative,school,"2,0"
A3VEF4M5FIN7KH,argumentative,stereotype,"2,0"
A3VEF4M5FIN7KH,creative,mana,"2,1"
A3VEF4M5FIN7KH,creative,pig,"2,1"
A3VEF4M5FIN7KH,creative,reincarnation,"2,1"
A3VEF4M5FIN7KH,creative,shapeshifter,"2,1"
A6KOTWP7N7RLU,argumentative,animal,"2,0"
A6KOTWP7N7RLU,argumentative,athletes,"2,0"
A6KOTWP7N7RLU,argumentative,audiobook,"2,0"
A6KOTWP7N7RLU,argumentative,dating,"2,0"
A6KOTWP7N7RLU,argumentative,extremesports,"2,0"
A6KOTWP7N7RLU,argumentative,news,"2,0"
A6KOTWP7N7RLU,argumentative,pads,"2,0"
A6KOTWP7N7RLU,argumentative,school,"2,0"
A6KOTWP7N7RLU,argumentative,screen,"2,0"
A6KOTWP7N7RLU,argumentative,stereotype,"2,0"
A6KOTWP7N7RLU,creative,bee,"2,0"
A6KOTWP7N7RLU,creative,dad,"2,0"
A6KOTWP7N7RLU,creative,isolation,"2,0"
A6KOTWP7N7RLU,creative,mana,"2,0"
A6KOTWP7N7RLU,creative,mattdamon,"2,0"
A6KOTWP7N7RLU,creative,obama,"2,0"
A6KOTWP7N7RLU,creative,reincarnation,"2,0"
A6KOTWP7N7RLU,creative,shapeshifter,"2,0"
A6KOTWP7N7RLU,creative,sideeffect,"2,0"
ABL2FXYMI00T6,argumentative,dating,0
ABL2FXYMI00T6,argumentative,screen,0
ABL2FXYMI00T6,creative,bee,"0,1"
ABL2FXYMI00T6,creative,isolation,"0,1"
ABL2FXYMI00T6,creative,obama,"0,1"
ABL2FXYMI00T6,creative,sideeffect,"0,1"
AM2KK02JXXW48,creative,bee,"0,2"
AM2KK02JXXW48,creative,isolation,"0,2"
AM2KK02JXXW48,creative,obama,"0,2"
AM2KK02JXXW48,creative,shapeshifter,"0,2"
ANCIB6B6EBBIJ,argumentative,animal,0
ANCIB6B6EBBIJ,argumentative,athletes,0
ANCIB6B6EBBIJ,argumentative,audiobook,0
ANCIB6B6EBBIJ,argumentative,dating,0
ANCIB6B6EBBIJ,argumentative,extremesports,0
ANCIB6B6EBBIJ,argumentative,news,0
ANCIB6B6EBBIJ,argumentative,pads,0
ANCIB6B6EBBIJ,argumentative,school,0
ANCIB6B6EBBIJ,argumentative,screen,0
ANCIB6B6EBBIJ,argumentative,stereotype,0
ANCIB6B6EBBIJ,creative,bee,"0,2,1"
ANCIB6B6EBBIJ,creative,dad,"0,2,1"
